title,keywords
QA Automation Engineer / Manual / Тестировщик ПО,"['restassured', 'confluence', 'playwright', 'автотестов', 'jira']"
Backend Developer / Бэкенд-разработчик (Python Django),"['django', 'amqp', 'postgres', 'asyncio', 'redis']"
Middle разработчик React (RuBackup),"['redux', 'toolkit', 'взаимодействие', 'клиент', 'фронт']"
Тестировщик,"['возможность', 'день', 'сервер', 'база', 'linux']"
Аналитик данных (Junior+),"['superset', 'отчётность', 'clickhouse', 'greenplum', 'powerbi']"
Middle Python разработчик,"['aiogram', 'css', 'end', 'front', 'html']"
Аналитик данных,"['аналитика', 'данные', 'платформа', 'подключение', 'принятие']"
Python-разработчик,"['чат', 'сервис', 'реализация', 'желание', 'технология']"
Аналитик данных,"['владение', 'impala', 'it', 'airflow', 'spark']"
QA Engineer,"['тестирование', 'кейс', 'методология', 'составление', 'процесс']"
Продуктовый/BI аналитик,"['oracle', 'направление', 'программа', 'power', 'bi']"
Директор по данным,"['данных', 'hadoop', 'обработка', 'обучение', 'экспертиза']"
"Backend-разработчик Python (FastAPI + AI, медицинское приложение)","['api', 'openai', 'openrouter', 'pydantic', 'ответ']"
Junior developer (разработчик Phyton),"['портфолио', 'готовность', 'react', 'ооп', 'принцип']"
Backend python developer,"['требование', 'данными', 'стек', 'умение', 'владение']"
Аналитик данных (Data analyst),"['dbt', 'nlp', 'nltk', 'spacy', 'извлечение']"
Руководитель отдела тестирования,"['администратор', 'программист', 'роль', 'bash', 'java']"
Python разработчик,"['фреймворках', 'алгоритм', 'приложение', 'структура', 'веб']"
Python-разработчик,"['cloud', 'graphql', 'restful', 'sber', 'yandex']"
ML Разработчик,"['learn', 'scikit', 'библиотеками', 'numpy', 'pandas']"
Системный администратор Windows,"['mcse', 'microsoft', 'windows', 'безопасность', 'способ']"
Разработчик Python,"['nginx', 'разворачивание', 'понимание', 'протокол', 'решение']"
Python-разработчик,"['django', 'схема', 'база', 'celery', 'framework']"
Junior Devops / Системный администратор Linux,"['хостинг', 'ci', 'gitlab', 'система', 'владение']"
Python Backend Middle/Middle+ разработчик,"['celery', 'beat', 'redis', 'реализация', 'владение']"
Backend-разработчик,"['aiohttp', 'aws', 'интеграция', 'облако', 'asyncio']"
